Degree,Velocity,Pressure,Sabot
37.26,6.3717,10.132,1
46.17,1.9529,27.0631,1
35.05,6.5368,10.132,1
38.17,6.2955,9.9987,1
35.3,6.2527,9.9987,1
34.44,6.4841,13.3316,0
49.44,2.514,26.6631,1
34.37,4.0545,13.3316,1
43.42,1.9711,26.6631,0
49.94,2.0338,26.6631,1
45.07,2.6258,26.6631,1
48.34,3.2338,26.6631,1
38.31,3.4965,14.6647,1
44.87,3.1069,26.6631,1
40.9,3.8073,14.6647,1
54.44,2.2642,39.9947,1
38.9,5.9331,10.6652,1
41.4,3.8965,13.3316,1
54.29,2.4349,39.8614,1
42.21,2.3456,26.5298,0
49.5,2.4956,28.6628,1
35.48,5.3071,13.3316,1
39.11,4.4094,13.3316,1
48.76,1.9723,26.2632,1
49.76,2.6289,26.6631,1
27.78,6.3691,11.3318,0
51.52,2.4177,26.5298,1
34.77,3.1064,13.5982,1
35.95,3.0873,13.3316,1
34.41,5.527,11.9984,0
28.77,6.0697,11.9984,0
35.73,2.6176,19.864,0
50.47,2.1159,26.5298,1
46.4,2.8972,26.6631,1
50.01,2.7488,26.6631,1
40.02,5.0632,11.3318,1
36.37,3.0503,16.6644,0
36.73,4.6254,16.6644,0
33.19,3.6586,16.6644,0
34.35,6.2191,16.6644,0
56.68,1.7852,33.3289,1
33.22,4.0883,15.3313,0
33.94,2.7571,16.6644,0
30.11,4.7064,12.665,0
32.73,3.1232,14.6647,0
29.44,2.8353,13.3316,0
29.56,4.9019,11.8651,0
56.94,1.5577,36.6618,1
49.49,1.9965,29.996,1
28.97,2.5079,19.9973,1
29.73,2.9967,13.3316,0
29.35,5.4851,11.0652,0
29.3,4.8663,11.9984,0
30.75,5.8994,12.665,0
29.06,4.8531,11.9984,0
