Degree,Velocity,Pressure,Sabot,Comments
0,4.6764,27.99626716,1,JR - slight sabot strike
0,5.207,33.5955206,1,JR - too much backfill
0,5.4955,23.33022264,1,"JR - sabot stike, over exposure, front face"
0,4.1649,26.66311159,1,"JR - projectile breakup/sabot failure, nothing useful on video "
0,6.0352,26.66311159,1,"JR - sabot strike, but successful acceleration; need to increase backfill pressure "
0,5.3787,33.32888948,1,JR - sabot failure 
0,5.4703,33.5955206,1,JR - minor sabot seperation issue
0,4.7892,33.32888948,1,JR - minor sabot seperation issue
0,6.527,26.66311159,0,"RK - sabot strike, one petal of the sabot escaped the sabot stripper"
0,6.1071,26.66311159,0,"RK - sabot strike, two petals of the sabot escaped the sabot stripper"
0,6.1417,26.79642714,1,"JR - sabot did not separate, need to increase backfill"
0,5.855,11.99840021,1,"slight sabot strike, acceptable "
